,Asset_Class_ID,Asset_Type,Material,DIAMETER,Community,Quantity_Length,Install_Date,Source,Edited_Date,Asset_Class,Asset_Owner,Category,Potable,Fail
0,68,Rider Main,PE80,50,Turangi,281.49,2015-09-28 10:45:48+00:00,Fulton Hogan Turangi Ridermain Renewals,2017-11-27 09:35:10+00:00,Water_Main,Public ,Turangi,Yes,0
1,68,Rider Main,PE80,50,Turangi,469.24,2015-09-24 00:00:00+00:00,Fulton Hogan Turangi Ridermain Renewals,2017-11-27 09:35:10+00:00,Water_Main,Public ,Turangi,Yes,0
2,68,Rider Main,PE80,50,Turangi,62.34,2015-09-24 00:00:00+00:00,Fulton Hogan Turangi Ridermain Renewals,2017-11-27 09:35:10+00:00,Water_Main,Public ,Turangi,Yes,0
3,68,Rider Main,PE80,50,Mangakino,119.97,2015-09-24 10:58:24+00:00,Cheal Consultants,2018-08-09 08:43:52+00:00,Water_Main,Public ,Mangakino,Yes,0
4,68,Water Main,PE80,63,Mangakino,58.35,2015-10-19 11:37:38+00:00,Cheal Consultants,2017-11-27 09:38:16+00:00,Water_Main,Public ,Mangakino,Yes,0
5,68,Water Main,uPVC,100,Kinloch,121.73,2014-05-27 00:00:00+00:00,Cheal Consultants,2017-11-27 09:38:16+00:00,Water_Main,Public ,Kinloch,Yes,0
6,68,Water Main,PE,100,Kinloch,29.6,2014-05-27 00:00:00+00:00,Cheal Consultants,2017-11-27 09:38:16+00:00,Water_Main,Public ,Kinloch,Yes,0
7,68,Water Main,uPVC,100,Kinloch,124.04,2014-05-27 00:00:00+00:00,Cheal Consultants,2017-11-27 09:38:16+00:00,Water_Main,Public ,Kinloch,Yes,0
8,68,Water Main,uPVC,100,Kinloch,16.55,2014-05-27 00:00:00+00:00,Cheal Consultants,2017-11-27 09:38:16+00:00,Water_Main,Public ,Kinloch,Yes,0
9,68,Water Main,uPVC,100,Kinloch,55.51,2014-05-27 00:00:00+00:00,Cheal Consultants,2017-11-27 09:38:16+00:00,Water_Main,Public ,Kinloch,Yes,0
10,68,Rider Main,MDPE,63,Kinloch,40.18,2014-10-03 00:00:00+00:00,AH Developments,2018-08-09 12:30:53+00:00,Water_Main,Public ,Kinloch,Yes,0
11,68,Rider Main,PE80,50,Turangi,19.24,2015-09-24 14:48:02+00:00,Fulton Hogan Turangi Ridermain Renewals,2017-11-27 09:35:10+00:00,Water_Main,Public ,Turangi,Yes,0
12,68,Rider Main,PE80,50,Turangi,15.1,2015-09-24 15:09:43+00:00,Fulton Hogan Turangi Ridermain Renewals,2017-11-27 09:35:10+00:00,Water_Main,Public ,Turangi,Yes,0
13,68,Rider Main,PE80,50,Turangi,15.0,2015-09-24 15:13:48+00:00,Fulton Hogan Turangi Ridermain Renewals,2017-11-27 09:35:10+00:00,Water_Main,Public ,Turangi,Yes,0
14,68,Water Main,PE100,200,Mangakino,71.06,2015-09-24 16:46:37+00:00,Cheal Consultants,2017-11-27 09:38:16+00:00,Water_Main,Public ,Mangakino,Yes,0
15,68,Water Main,PE,125,Taupo,1.06,2016-03-11 00:00:00+00:00,Central Surveys,2018-01-12 09:18:41+00:00,Water_Main,Public ,Taupo,Yes,0
16,68,Water Main,PE100,180,Taupo - Central,1.27,2015-03-26 00:00:00+00:00,Cheal Consultants,2022-12-01 09:27:49+00:00,Water_Main,Public ,Taupo,Yes,0
